Player,Pos,Age,Tm,G,MP,FG,FGA,FGperc,ThreeP,ThreePA,ThreePperc,TwoP,TwoPA,TwoPperc,eFGperc,FT,FTA,FTperc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Green,SG,23,MIL,35,9.9,1.5,3.6,0.4166666666666667,1.3,3,0.43333333333333335,0.3,0.6,0.5,0.5972222222222222,0.1,0.1,1,0.2,1.1,1.3,0.6,0.2,0,0.3,0.9,4.4
A.J. Lawson,SG,22,"MIN, DAL",15,9.6,2.5,4.1,0.6097560975609757,0.7,1.8,0.3888888888888889,1.8,2.3,0.782608695652174,0.6951219512195123,0.1,0.6,0.16666666666666666,0.4,2,2.4,0.1,0.1,0,0.2,1.7,5.9
AJ Griffin,SF,19,ATL,72,19.5,3.4,7.400000000000001,0.4594594594594594,1.4,3.5999999999999996,0.3888888888888889,2,3.7999999999999994,0.5263157894736843,0.554054054054054,0.6,0.7,0.8571428571428571,0.5,1.6,2.1,1,0.6,0.2,0.6,1.2,8.9
Aaron Gordon,PF,27,DEN,68,30.2,6.3,11.2,0.5625,0.9,2.5,0.36000000000000004,5.4,8.6,0.6279069767441862,0.6026785714285715,2.8,4.6,0.6086956521739131,2.4,4.1,6.6,3,0.8,0.8,1.4,1.9,16.3
Aaron Holiday,PG,26,ATL,63,13.4,1.5,3.5,0.42857142857142855,0.6,1.4,0.4285714285714286,0.9,2.1,0.42857142857142855,0.5142857142857143,0.4,0.5,0.8,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9
Aaron Nesmith,SF,23,IND,73,24.9,3.5,8.1,0.4320987654320988,1.6,4.3,0.372093023255814,1.9,3.8,0.5,0.5308641975308642,1.6,1.9,0.8421052631578949,0.8,2.9,3.8,1.3,0.8,0.5,1,3.2,10.1
Aaron Wiggins,SG,24,OKC,70,18.5,2.7,5.2,0.5192307692307693,0.7,1.7,0.4117647058823529,2,3.4,0.5882352941176471,0.5865384615384616,0.8,1,0.8,1,2,3,1.1,0.6,0.2,0.8,1.6,6.8
Admiral Schofield,PF,25,ORL,37,12.2,1.5,3.3,0.4545454545454546,0.6,2,0.3,0.8,1.3,0.6153846153846154,0.5454545454545454,0.6,0.6,1,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2
Al Horford,C,36,BOS,63,30.5,3.6,7.6,0.4736842105263159,2.3,5.2,0.44230769230769224,1.3,2.4,0.5416666666666667,0.6250000000000001,0.2,0.3,0.6666666666666667,1.2,5,6.2,3,0.5,1,0.6,1.9,9.8
Alec Burks,SG,31,DET,51,22,3.9,9,0.43333333333333335,1.9,4.7,0.4042553191489361,2,4.3,0.4651162790697675,0.5388888888888889,3,3.7,0.8108108108108107,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8
Aleksej Pokusevski,PF,21,OKC,34,20.6,3.2,7.3,0.4383561643835618,1.1,3.1,0.3548387096774194,2.1,4.3,0.4883720930232559,0.5136986301369864,0.6,1,0.6,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1
Alex Caruso,PG,28,CHI,67,23.5,1.9,4.3,0.44186046511627913,0.8,2.3,0.3478260869565218,1.1,2,0.55,0.5348837209302326,0.9,1.1,0.8181818181818182,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6
Alex Len,C,29,SAC,26,6.2,0.6,1.2,0.5,0,0.1,0,0.6,1.1,0.5454545454545454,0.5,0.4,0.6,0.6666666666666667,0.9000000000000001,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.6999999999999995
Alize Johnson,PF,26,SAS,4,7.5,0.8,1.5,0.5333333333333333,0,0.5,0,0.8,1,0.8,0.5333333333333333,0.3,0.5,0.6,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8
Alondes Williams,SG,23,BRK,1,5,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,2,1,0
Alperen Þengün,C,20,HOU,75,28.9,5.9,10.7,0.5514018691588785,0.3,0.8,0.375,5.6,9.9,0.5656565656565656,0.5654205607476636,2.7,3.8,0.7105263157894737,3.2,5.8,9,3.9,0.9,0.9,2.6,3.4,14.8
Amir Coffey,SG,25,LAC,50,12.5,1.1,2.9,0.37931034482758624,0.2,0.8,0.25,0.9,2.1,0.42857142857142855,0.4137931034482759,1,1.3,0.7692307692307693,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1,3.4
Andre Drummond,C,29,CHI,67,12.7,2.5,4.1,0.6097560975609756,0,0,NA,2.5,4,0.625,0.6097560975609756,1,1.9,0.5263157894736842,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6
Andre Iguodala,SF,39,GSW,8,14.1,0.9,1.9,0.4736842105263158,0.1,1.1,0.09090909090909093,0.8,0.8,1,0.5000000000000001,0.3,0.4,0.7499999999999999,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1
Andrew Nembhard,SG,23,IND,75,27.6,3.8,8.6,0.4418604651162791,1.2,3.5,0.34285714285714286,2.6,5.1,0.5098039215686274,0.5116279069767442,0.7,0.8,0.875,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5
Andrew Wiggins,SF,27,GSW,37,32.2,6.8,14.3,0.4755244755244755,2.4,6.1,0.39344262295081966,4.4,8.2,0.5365853658536586,0.5594405594405594,1.2,1.9,0.631578947368421,1.6,3.4,5,2.3,1.2,0.8,1.3,2.9,17.1
Anfernee Simons,SG,23,POR,62,35,7.5,16.9,0.4437869822485208,3.4,9.1,0.3736263736263736,4.1,7.8,0.5256410256410257,0.5443786982248521,2.6,2.9,0.8965517241379312,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,21.1
Anthony Davis,C,29,LAL,56,34,9.7,17.2,0.563953488372093,0.3,1.3,0.2307692307692308,9.3,15.9,0.5849056603773586,0.5726744186046511,6.2,7.9,0.7848101265822784,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6,25.9
Anthony Edwards,SG,21,MIN,79,36,8.9,19.5,0.4564102564102564,2.7,7.299999999999999,0.3698630136986302,6.3,12.2,0.5163934426229508,0.5256410256410257,4,5.3,0.7547169811320755,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6
Anthony Gill,PF,30,WAS,59,10.6,1.2,2.2,0.5454545454545454,0.1,0.5,0.2,1.1,1.7,0.6470588235294118,0.5681818181818181,0.8,1.1,0.7272727272727273,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3
Anthony Lamb,SF,25,GSW,62,19.3,2.4,5.1,0.4705882352941176,1.2,3.2,0.37499999999999994,1.2,1.9,0.631578947368421,0.588235294117647,0.7,1,0.7,0.9,2.6,3.5,1.5,0.5,0.3,0.9,2.2,6.7
Austin Reaves,SG,24,LAL,64,28.8,4,7.7,0.5194805194805194,1.3,3.4,0.3823529411764706,2.7,4.3,0.6279069767441862,0.6038961038961039,3.6,4.1,0.878048780487805,0.5,2.5,3,3.4,0.5,0.3,1.5,1.7,13
Austin Rivers,SG,30,MIN,52,19.5,1.8000000000000005,4,0.45000000000000007,0.8,2.4,0.33333333333333337,0.9000000000000001,1.6999999999999995,0.5294117647058825,0.55,0.6,0.8,0.75,0.1,1.5,1.6,1.4,0.5,0.1,0.4,1.5,4.9
Ayo Dosunmu,SG,23,CHI,80,26.2,3.5,7.1,0.4929577464788733,0.7,2.4,0.2916666666666667,2.8,4.8,0.5833333333333334,0.5422535211267606,0.8,1,0.8,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6
Bam Adebayo,C,25,MIA,75,34.6,8,14.9,0.5369127516778524,0,0.2,0,8,14.7,0.54421768707483,0.5369127516778524,4.3,5.4,0.7962962962962963,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4
Ben Simmons,PG,26,BRK,42,26.3,3.2,5.6,0.5714285714285715,0,0,NA,3.2,5.5,0.5818181818181818,0.5714285714285715,0.6,1.4,0.4285714285714286,1,5.3,6.299999999999999,6.1,1.3,0.6,2.3,3.3,6.9
Bennedict Mathurin,SF,20,IND,78,28.5,5.3,12.2,0.4344262295081968,1.3,4,0.325,4,8.2,0.48780487804878053,0.48770491803278687,4.8,5.8,0.8275862068965517,1.1,3,4.1,1.5,0.6,0.2,1.9,2.1,16.7
Bismack Biyombo,C,30,PHO,61,14.3,2,3.4,0.5882352941176471,0,0,NA,2,3.4,0.5882352941176471,0.5882352941176471,0.4,1.1,0.3636363636363637,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3
Blake Griffin,C,33,BOS,41,13.9,1.5,3.2000000000000006,0.46874999999999994,0.6,1.6000000000000003,0.37499999999999994,1,1.6000000000000003,0.6249999999999999,0.5624999999999999,0.5,0.8000000000000002,0.6249999999999999,1.1,2.6,3.7999999999999994,1.5,0.3,0.20000000000000004,0.5,1.7999999999999998,4.1
